PN,CFF,NOMECLATURA,UN,PRICE UNIT(U$),Retorno da busca,Comparação preço
14-99802-21,76197,"ARM,WINDSHIELD WIPER",EA,"4118,09",Part Number/CFF não encontrado.,Não há preço
30060-21-7512,72914,"LIGHT,NAVIGATIONAL,AIRCRAFT, LEFT HAND WING, COLOR RED, GLASS LENS, 26,5 VOLTS DC",EA,"16204,54",Há 0 preços para este item. Preço médio: $-0.0.,Preço médio do PubLog é 0.
41-0441-1,72914,"CONNECTOR,RECEPTACLE,ELECTRICAL",EA,"589,56",Há 4 preços para este item. Preço médio: $124.39.,Preço médio do PubLog é 373.96% mais barato.
602EN123-6,91929,"SWITCH,SENSITIVE",EA,"2845,97",Há 0 preços para este item. Preço médio: $-0.0.,Preço médio do PubLog é 0.
4009270-3WD,7187,"BEARING UNIT,BALL",EA,"3816,44",Part Number/CFF não encontrado.,Não há preço
MS21905D4,96906,"TEE,TUBE TO BOSS",EA,"60,19",Apenas um preço foi encontrado para este item. Preço médio: $7.93.,Preço médio do PubLog é 659.02% mais barato.
B-6245-303,72914,LIGHT DOME,EA,"9259,74",Part Number/CFF não encontrado.,Não há preço
A13217,72121,"GEAR,WORM",EA,"20754,69",Há 0 preços para este item. Preço médio: $-0.0.,Preço médio do PubLog é 0.
B6583,17472,"PLATE,ROD END",EA,"231,61",Há 0 preços para este item. Preço médio: $-0.0.,Preço médio do PubLog é 0.
B6553-1,17472,"WASHER,FLAT",EA,"1468,77",Há 0 preços para este item. Preço médio: $-0.0.,Preço médio do PubLog é 0.
40243G-02,71483,"CUSHION,EAR",EA,"161,64",Há 0 preços para este item. Preço médio: $-0.0.,Preço médio do PubLog é 0.
050-02960-0000,22373,INSTALLATION KIT FOR ANT KA-54,EA,"2368,99",Part Number/CFF não encontrado.,Não há preço
NAS1149F0563P,80205,"WASHER,FLAT",EA,"3,04",Há 6 preços para este item. Preço médio: $2.63.,Preço médio do PubLog é 15.59% mais barato.
AD-29529-001,74025,"HARNESS ASSEMBLY,SE",EA,"2064,28",Part Number/CFF não encontrado.,Não há preço
85-0446-7,72914,LIGHT DOME CABIN,EA,"2585,01",Há 0 preços para este item. Preço médio: $-0.0.,Preço médio do PubLog é 0.
MS21908W4,81343,"ELBOW,TUBE",EA,"50,54",Há 5 preços para este item. Preço médio: $14.91.,Preço médio do PubLog é 238.97% mais barato.
MS3108R10S13S,96906,"CONNECTOR,PLUG,ELECTRICAL",EA,"218,3",Há 6 preços para este item. Preço médio: $57.24.,Preço médio do PubLog é 281.38% mais barato.
14445,F0189,"BEARING,PLAIN,SPHERICAL, LH/RH",EA,"1047,09",Part Number/CFF não encontrado.,Não há preço
AN320-2,88044,"NUT,PLAIN,SLOTTED,HEXAGON",EA,"22,58",Há 5 preços para este item. Preço médio: $56.41.,Preço médio do PubLog é 149.82% mais caro.
4772-6,99894,ATTENUATOR,EA,"1326,63",Part Number/CFF não encontrado.,Não há preço
50-0014-3,72914,LIGHT LAND,EA,"955,81",Há 0 preços para este item. Preço médio: $-0.0.,Preço médio do PubLog é 0.
4080A,98429,"WHEEL,MINUTE RECORD",EA,"476,48",Há 0 preços para este item. Preço médio: $-0.0.,Preço médio do PubLog é 0.
MS9565-05,96906,"BOLT,MACHINE",EA,"908,84",Há 5 preços para este item. Preço médio: $164.56.,Preço médio do PubLog é 452.28% mais barato.
M8805/99-025,81349,SWITCH,EA,"1258,01",Há 6 preços para este item. Preço médio: $323.38.,Preço médio do PubLog é 289.02% mais barato.
HL22-5-5,73197,PIN RIVET,EA,"8,21",Há 4 preços para este item. Preço médio: $1.5.,Preço médio do PubLog é 447.33% mais barato.
HL22-6-6,73197,"PIN-RIVET,THRE",EA,"67,91",Há 4 preços para este item. Preço médio: $1.91.,Preço médio do PubLog é 3455.5% mais barato.
AN520-10-9,88044,SCREW MACHINE,EA,"9,87",Há 0 preços para este item. Preço médio: $-0.0.,Preço médio do PubLog é 0.
AS5180B04,81343,"ADAPTER,STRAIGHT,TUBE TO HOSE",EA,"460,45",Há 3 preços para este item. Preço médio: $82.12.,Preço médio do PubLog é 460.7% mais barato.
M8815/6-8,78286,"FILTER ELEMENT,FLUID",EA,"503,39",Há 4 preços para este item. Preço médio: $81.9.,Preço médio do PubLog é 514.64% mais barato.
BACN10B-L7L,81205,"NUT,SELF-LOCKING,EXTENDED WASHER,DOUBLE HEXAGON",EA,"54,26",Há 4 preços para este item. Preço médio: $5.54.,Preço médio do PubLog é 879.42% mais barato.
A-2036-22,24692,"SCREW,CAP,SOCKET HEAD",EA,"121,37",Há 3 preços para este item. Preço médio: $14.16.,Preço médio do PubLog é 757.13% mais barato.
MS3106K12S3S,96906,"CONNECTOR,PLUG",EA,"6770,65",Há 4 preços para este item. Preço médio: $1585.92.,Preço médio do PubLog é 326.92% mais barato.
MS25010B12A327,96906,LIGHT PANEL,EA,"292,33",Há 5 preços para este item. Preço médio: $39.82.,Preço médio do PubLog é 634.13% mais barato.
MS20392-2C95,96906,PIN STR HD,EA,"13,35",Há 6 preços para este item. Preço médio: $2.14.,Preço médio do PubLog é 523.83% mais barato.
LM412-37,76005,GASKET,EA,"600,14",Há 0 preços para este item. Preço médio: $-0.0.,Preço médio do PubLog é 0.
MS20426AD5-10,96906,"RIVET,SOLID",EA,"86,07",Há 6 preços para este item. Preço médio: $22.52.,Preço médio do PubLog é 282.19% mais barato.
MS20470AD3-3,96906,"RIVET,SOLID",EA,272,Há 6 preços para este item. Preço médio: $36.8.,Preço médio do PubLog é 639.13% mais barato.
MS20002C6,80205,"WASHER,RECESSED",EA,"69,3",Há 6 preços para este item. Preço médio: $11.05.,Preço médio do PubLog é 527.15% mais barato.
AN818-12D,88044,"NUT,TUBE COUPLING",EA,"17,21",Há 5 preços para este item. Preço médio: $3.3.,Preço médio do PubLog é 421.52% mais barato.
A-2043-1,24692,"NUT,SELF-LOCKING,HEXAGON",EA,"3,4",Há 4 preços para este item. Preço médio: $2.36.,Preço médio do PubLog é 44.07% mais barato.
MS35333-39,80205,"WASHER,LOCK",EA,"5,48",Há 6 preços para este item. Preço médio: $1.41.,Preço médio do PubLog é 288.65% mais barato.
AN960-916,88044,"WASHER,FLAT",EA,"8,49",Há 6 preços para este item. Preço médio: $13.2.,Preço médio do PubLog é 55.48% mais caro.
MS21256-2,96906,"CLIP, RETAINING, AVIATION",EA,"1,2",Há 6 preços para este item. Preço médio: $0.2.,Preço médio do PubLog é 500.0% mais barato.
AN837-4D,88044,"ELBOW,TUBE",EA,"70,75",Há 6 preços para este item. Preço médio: $12.44.,Preço médio do PubLog é 468.73% mais barato.
MS3106F14S5S,96906,"CONNECTOR,PLUG,ELECTRICAL",EA,"115,13",Há 6 preços para este item. Preço médio: $19.03.,Preço médio do PubLog é 504.99% mais barato.
MS24149-D1,96906,"RELAY,ELECTROMAGNETIC",EA,"4363,87",Há 6 preços para este item. Preço médio: $995.24.,Preço médio do PubLog é 338.47% mais barato.
AN3-21A,88044,"BOLT,MACHINE",EA,"23,69",Há 6 preços para este item. Preço médio: $54.75.,Preço médio do PubLog é 131.11% mais caro.
MS28775-213,F0229,"PACKING,PREFORMED",EA,"1,39",Há 6 preços para este item. Preço médio: $0.35.,Preço médio do PubLog é 297.14% mais barato.
MS20220-2,96906,"PULLEY,GROOVE",EA,239,Há 4 preços para este item. Preço médio: $59.13.,Preço médio do PubLog é 304.19% mais barato.
MS27645-5,96906,"BEARING,BALL,AIRFRAME",EA,198,Há 4 preços para este item. Preço médio: $33.35.,Preço médio do PubLog é 493.7% mais barato.
900591B2C,97499,"CLAMP,HOSE, MATERIAL STEEL CORROSION RESISTING",EA,"9,4",Há 5 preços para este item. Preço médio: $1.8.,Preço médio do PubLog é 422.22% mais barato.
AS15001-1P,81343,"FITTING,LUBRICATION",EA,"676,43",Há 5 preços para este item. Preço médio: $187.17.,Preço médio do PubLog é 261.4% mais barato.
02-5600-13,3CPE0,"BEARING,WASHER,THRUST",EA,"370,98",Há 4 preços para este item. Preço médio: $63.77.,Preço médio do PubLog é 481.75% mais barato.
23057,79300,KNOB,EA,"99,97",Há 4 preços para este item. Preço médio: $14.45.,Preço médio do PubLog é 591.83% mais barato.
MS9226-05,96906,"WIRE,NONELECTRICAL, ROUND, NICKEL ALLOY, AMS5687, DIAMETER 0.039 IN AND 0.041 IN, LENGTH 218 FEET",EA,"184,94",Há 5 preços para este item. Preço médio: $19.5.,Preço médio do PubLog é 848.41% mais barato.
2200,95146,"LAMP,INCANDESCENT",EA,"1,18",Há 5 preços para este item. Preço médio: $0.18.,Preço médio do PubLog é 555.56% mais barato.
A1877,FA1D6,"RING,RETAINING",EA,"13,72",Há 3 preços para este item. Preço médio: $3.35.,Preço médio do PubLog é 309.55% mais barato.
744238-1,73030,SHAFT,EA,"26404,05",Há 2 preços para este item. Preço médio: $737.16.,Preço médio do PubLog é 3481.86% mais barato.
MS27643-4,81343,"BEARING,BALL,AIRFRAME, LUBRICATION MATERIAL GREASE MIL-G-81322 MIL SPEC",EA,"281,51",Há 5 preços para este item. Preço médio: $33.14.,Preço médio do PubLog é 749.46% mais barato.
57B1843,24692,"FELT,MECHANICAL,PREFORMED",EA,"45,09",Há 3 preços para este item. Preço médio: $5.96.,Preço médio do PubLog é 656.54% mais barato.
B6551,17472,COUPLING,EA,"2893,67",Há 0 preços para este item. Preço médio: $-0.0.,Preço médio do PubLog é 0.
A2048-2,24692,WASHER,EA,"18,91",Há 3 preços para este item. Preço médio: $5.8.,Preço médio do PubLog é 226.03% mais barato.
522-0688-013,5211,ANTENNA,EA,"4479,36",Part Number/CFF não encontrado.,Não há preço
PRP909-7,24692,RING SHAFT,EA,"32,72",Há 3 preços para este item. Preço médio: $7.26.,Preço médio do PubLog é 350.69% mais barato.
M5757/10-035,81349,"RELAY,ELECTROMAGNETIC",EA,"346,85",Há 6 preços para este item. Preço médio: $123.66.,Preço médio do PubLog é 180.49% mais barato.
MS9276-09,80205,WASHER,EA,"11,45",Há 5 preços para este item. Preço médio: $14.43.,Preço médio do PubLog é 26.03% mais caro.
MS35265-29,96906,SCREW MACHINE,EA,"105,5",Há 6 preços para este item. Preço médio: $25.38.,Preço médio do PubLog é 315.68% mais barato.
MS21250-05036,96906,"BOLT,SHEAR",EA,"79,99",Há 4 preços para este item. Preço médio: $8.58.,Preço médio do PubLog é 832.28% mais barato.
MS26574-3A,81349,CIRCUIT BREAKER,EA,"117,9",Há 5 preços para este item. Preço médio: $47.95.,Preço médio do PubLog é 145.88% mais barato.
AS3209-159,0U583,"PACKING,PREFOR",EA,"38,54",Há 6 preços para este item. Preço médio: $1.29.,Preço médio do PubLog é 2887.6% mais barato.
AS5406-04,81343,"NIPPLE,TUBE",EA,"33,01",Há 5 preços para este item. Preço médio: $4.87.,Preço médio do PubLog é 577.82% mais barato.
AN4H22A,88044,"BOLT,MACHINE",EA,"508,53",Há 5 preços para este item. Preço médio: $81.08.,Preço médio do PubLog é 527.2% mais barato.
MS21902W4,81343,"NIPPLE,BOSS",EA,"27,32",Há 6 preços para este item. Preço médio: $4.93.,Preço médio do PubLog é 454.16% mais barato.
MS35275-202,96906,"SCREW,MACHINE",EA,"1,11",Há 6 preços para este item. Preço médio: $7.47.,Preço médio do PubLog é 572.97% mais caro.
MS27308-2,96906,"BUS,CONDUCTOR,CONNECTOR BAT",EA,"138,11",Há 5 preços para este item. Preço médio: $26.06.,Preço médio do PubLog é 429.97% mais barato.
14264,66640,BOLT STEEL,EA,"53,3",Part Number/CFF não encontrado.,Não há preço
ES500-6-33,17472,"SCREW, MACHINE",EA,"120,19",Há 0 preços para este item. Preço médio: $-0.0.,Preço médio do PubLog é 0.
10-10001,25693,CLAMP,EA,"84,36",Há 2 preços para este item. Preço médio: $39.39.,Preço médio do PubLog é 114.17% mais barato.
HL2277-6-5,73197,REBITE HC-LOK,EA,"24,08",Há 2 preços para este item. Preço médio: $2.25.,Preço médio do PubLog é 970.22% mais barato.
S67-2002,13691,"ANTENNA, RADIO ALTIM",EA,"3174,52",Há 3 preços para este item. Preço médio: $932.4.,Preço médio do PubLog é 240.47% mais barato.
M83248/1-126,81349,PACKING,EA,"7,9",Há 6 preços para este item. Preço médio: $0.38.,Preço médio do PubLog é 1978.95% mais barato.
C-3317-347-2,24692,GASKET,EA,"39,46",Há 0 preços para este item. Preço médio: $-0.0.,Preço médio do PubLog é 0.
40863G-02,71483,"CUSHION, EAR",EA,"186,2",Há 4 preços para este item. Preço médio: $30.32.,Preço médio do PubLog é 514.12% mais barato.
165-34,2660,"CONNECTOR,PLUG,ELECTRICAL",EA,"68,46",Part Number/CFF não encontrado.,Não há preço
MS21902D5,96906,"NIPPLE,BOSS",EA,"29,79",Há 0 preços para este item. Preço médio: $-0.0.,Preço médio do PubLog é 0.
U3356S1-150,94581,"COUPLING,CLAMP,GROOVED",EA,"274,41",Há 4 preços para este item. Preço médio: $64.39.,Preço médio do PubLog é 326.17% mais barato.
A1852,FA1D6,RING GUIDE,EA,"608,51",Há 3 preços para este item. Preço médio: $115.19.,Preço médio do PubLog é 428.27% mais barato.
A1854,24692,"RING,RETAINING",EA,"26,69",Há 3 preços para este item. Preço médio: $10.55.,Preço médio do PubLog é 152.99% mais barato.
AN150540,81343,"STUD,STEPPED",EA,"872,18",Há 3 preços para este item. Preço médio: $109.58.,Preço médio do PubLog é 695.93% mais barato.
MS16998-55,96906,"SCREW,CAP,SOCKET HEAD",EA,"12,95",Há 4 preços para este item. Preço médio: $2.47.,Preço médio do PubLog é 424.29% mais barato.
12840G-01,71483,"REPAIR KIT,BOOM GUIDE",EA,"63,6",Há 4 preços para este item. Preço médio: $10.14.,Preço médio do PubLog é 527.22% mais barato.
3SAV1044A3,1526,RELAY,EA,"172,7",Part Number/CFF não encontrado.,Não há preço
MS14145L8,80205,"NUT,SELF-LOCKING,EXTENDED WASHER,HEXAGON",EA,"72,93",Há 4 preços para este item. Preço médio: $9.53.,Preço médio do PubLog é 665.27% mais barato.
50-0014-9,72914,"LIGHT,LANDING,AIRCRAFT",EA,"12176,55",Há 0 preços para este item. Preço médio: $-0.0.,Preço médio do PubLog é 0.
MS14101-3,96906,"BEARING,PLAIN,SELF-ALIGNING",EA,"73,92",Há 3 preços para este item. Preço médio: $11.53.,Preço médio do PubLog é 541.11% mais barato.
B6582,17472,COUPLING,EA,"4870,12",Há 0 preços para este item. Preço médio: $-0.0.,Preço médio do PubLog é 0.
CA33020,8118,COUPLER ASSEMBLY,EA,"2026,99",Part Number/CFF não encontrado.,Não há preço
4050-1,98429,BALANCE ASSEMBLY,EA,"1381,91",Há 0 preços para este item. Preço médio: $-0.0.,Preço médio do PubLog é 0.
ES500-6-48,17472,"SCREW,MACHINE",EA,"175,46",Há 0 preços para este item. Preço médio: $-0.0.,Preço médio do PubLog é 0.
23065-1770,3CPE0,"IMPELLER,FAN,AXIAL",EA,"4586,12",Há 3 preços para este item. Preço médio: $1534.05.,Preço médio do PubLog é 198.96% mais barato.
4842X3-8,38597,"FILTER ELEMENT,FLUID",EA,"119,53",Há 3 preços para este item. Preço médio: $19.06.,Preço médio do PubLog é 527.12% mais barato.
18316G-02,71483,"CUSHION,EAR",EA,"64,12",Há 5 preços para este item. Preço médio: $10.68.,Preço médio do PubLog é 500.37% mais barato.
5131C364Z,14242,"COUPLING,CLAMP,GROOVED",EA,"6119,89",Há 0 preços para este item. Preço médio: $-0.0.,Preço médio do PubLog é 0.
8705,F6137,"FILTER ELEMENT,FLUID",EA,"166,96",Part Number/CFF não encontrado.,Não há preço
32038-124,F6137,ANEL VEDACAO,EA,"21,14",Part Number/CFF não encontrado.,Não há preço
MS27212-2-5,81343,BARRA DE TERMINAL,EA,"66,57",Há 4 preços para este item. Preço médio: $14.42.,Preço médio do PubLog é 361.65% mais barato.
110-2723-09-02,S4956,"HINGE,AIRCRAFT",EA,"2135,25",Part Number/CFF não encontrado.,Não há preço
110-2723-09-03,FB459,"HINGE,AIRCRAFT",EA,"19699,37",Part Number/CFF não encontrado.,Não há preço
4A-611-21-04,S4956,"TUBE ASSEMBLY,METAL",EA,"861,29",Part Number/CFF não encontrado.,Não há preço
4A780-10-20-30,S4956,BASE PROTETOR ESQ,EA,"459,9",Part Number/CFF não encontrado.,Não há preço
NAS1189-06P14L,7679,"SCREW,CAP,SOCKET HEAD",EA,"15,12",Part Number/CFF não encontrado.,Não há preço
MS3476W12-8S,96906,"CONNECTOR,PLUG,ELECTRICAL",EA,"129,11",Há 6 preços para este item. Preço médio: $20.7.,Preço médio do PubLog é 523.72% mais barato.
AS5190W05,88044,"ELBOW,BOSS",EA,"130,31",Há 4 preços para este item. Preço médio: $20.07.,Preço médio do PubLog é 549.28% mais barato.
AN3115-1,88044,"CONNECTOR,RECEPTACLE,ELECTRICAL",EA,"268,64",Há 4 preços para este item. Preço médio: $58.83.,Preço médio do PubLog é 356.64% mais barato.
MS25041-4-328,96906,"LIGHT,INDICATOR, LENS COLOR YELLOW SINGLE LIGHT, TRANSPARENT, WITH LAMP NUMBER 328",EA,"201,52",Há 3 preços para este item. Preço médio: $24.58.,Preço médio do PubLog é 719.85% mais barato.
M22520/5-41,81349,"DIE,CRIMPING T",EA,"1449,31",Há 2 preços para este item. Preço médio: $222.0.,Preço médio do PubLog é 552.84% mais barato.
AN919-15J,88044,"REDUCER,BOSS",EA,"93,42",Há 5 preços para este item. Preço médio: $14.91.,Preço médio do PubLog é 526.56% mais barato.
PMD13K60,53641,TRANSISTOR,EA,"127,61",Há 0 preços para este item. Preço médio: $-0.0.,Preço médio do PubLog é 0.
B3339,FA1D6,"BOLT,MACHINE",EA,"156,79",Há 0 preços para este item. Preço médio: $-0.0.,Preço médio do PubLog é 0.
MS21042L3,80205,"NUT,SELF-LOCKING,HEXAGON",EA,"240,28",Há 6 preços para este item. Preço médio: $37.46.,Preço médio do PubLog é 541.43% mais barato.
D38999/26WC35SN,81349,"CONNECTOR,PLUG,ELECTRICAL,22S NO.13",EA,"152,48",Há 6 preços para este item. Preço médio: $26.3.,Preço médio do PubLog é 479.77% mais barato.
M83536/22-022M,81349,RELAY 3PDT 28V SOCHET PIN,EA,"872,54",Há 5 preços para este item. Preço médio: $136.51.,Preço médio do PubLog é 539.18% mais barato.
A3087,24692,"WASHER,FLAT",EA,"25,39",Apenas um preço foi encontrado para este item. Preço médio: $1.26.,Preço médio do PubLog é 1915.08% mais barato.
MS27053-8,96906,PIPE,EA,"357,48",Há 4 preços para este item. Preço médio: $57.24.,Preço médio do PubLog é 524.53% mais barato.
M83798/3-4,81349,"ELBOW, TUBE TO HOSE",EA,"434,08",Há 4 preços para este item. Preço médio: $70.4.,Preço médio do PubLog é 516.59% mais barato.
M83798/3-004,81349,"ELBOW, TUBE TO HOSE",EA,"455,56",Part Number/CFF não encontrado.,Não há preço
MS21907W4,81343,"ELBOW,TUBE",EA,85,Há 5 preços para este item. Preço médio: $16.67.,Preço médio do PubLog é 409.9% mais barato.
MS3106A14S2S,96906,"CONNECTOR,PLUG,ELECTRICAL",EA,"216,37",Há 6 preços para este item. Preço médio: $26.38.,Preço médio do PubLog é 720.2% mais barato.
MS21916J8-6,96906,"REDUCER,BOSS",EA,"81,18",Há 5 preços para este item. Preço médio: $12.44.,Preço médio do PubLog é 552.57% mais barato.
NAS659-3-5,80205,"BEARING, BALL, ROD END",EA,"1706,53",Há 4 preços para este item. Preço médio: $299.95.,Preço médio do PubLog é 468.94% mais barato.
MS35206-234,96906,"SCREW,MACHINE",EA,"23,53",Há 6 preços para este item. Preço médio: $5.04.,Preço médio do PubLog é 366.87% mais barato.
N06-12-41-3-2-2,F9211,"BEARING,PLAIN,ROD END",EA,"877,95",Part Number/CFF não encontrado.,Não há preço
365A57-1253-20,F0210,"PLATE,MOUNTING",EA,"247,88",Part Number/CFF não encontrado.,Não há preço
9207-4399,58657,"RELAY,ELECTROMAGNETIC",EA,"12850,18",Há 0 preços para este item. Preço médio: $-0.0.,Preço médio do PubLog é 0.
B3001-2,24692,COLLAR PROPELL,EA,"4701,89",Há 2 preços para este item. Preço médio: $730.5.,Preço médio do PubLog é 543.65% mais barato.
R4ZZ,38443,"BEARING,BALL,ANNULAR",EA,"0,08",Há 4 preços para este item. Preço médio: $226.87.,Preço médio do PubLog é 283487.5% mais caro.
A9155-1,17472,SHIM,EA,"3693,63",Há 0 preços para este item. Preço médio: $-0.0.,Preço médio do PubLog é 0.
205-031-669-7,97499,"WINDOW PANEL,A",EA,"45750,66",Há 4 preços para este item. Preço médio: $7497.02.,Preço médio do PubLog é 510.25% mais barato.
B5198-1,17472,"TUBE,METALLIC",EA,"2673,49",Há 0 preços para este item. Preço médio: $-0.0.,Preço médio do PubLog é 0.
4A-501-10-01-07,S4956,"CONNECTING LINK,RIGID",EA,"4535,82",Part Number/CFF não encontrado.,Não há preço
4A-2115-21-10,S4956,GASKET,EA,"233,5",Part Number/CFF não encontrado.,Não há preço
3-1158-8,86768,SPACER,EA,"138,35",Há 0 preços para este item. Preço médio: $-0.0.,Preço médio do PubLog é 0.
B6552,17472,ADAPTER,EA,1772,Há 0 preços para este item. Preço médio: $-0.0.,Preço médio do PubLog é 0.
717503-0001,22373,"CLUTCH SERVO,PRIMAR",EA,"24084,71",Há 0 preços para este item. Preço médio: $-0.0.,Preço médio do PubLog é 0.
XD4N,58657,"RELAY,ELECTROMAGNETIC",EA,"614,36",Há 3 preços para este item. Preço médio: $110.32.,Preço médio do PubLog é 456.89% mais barato.
CDR21BG301CFTR,81349,"CAPACITOR,FIXED,CERAMIC DIELECTRIC",EA,"210,52",Há 3 preços para este item. Preço médio: $33.1.,Preço médio do PubLog é 536.01% mais barato.
99-4944,99167,GASKET,EA,"827,23",Há 0 preços para este item. Preço médio: $-0.0.,Preço médio do PubLog é 0.
A1306,24692,GASKET,EA,"22,79",Há 4 preços para este item. Preço médio: $4.51.,Preço médio do PubLog é 405.32% mais barato.
171007,16827,"GAGE,DIFFERENTIAL,DIAL INDICATING",EA,"1616,83",Há 0 preços para este item. Preço médio: $-0.0.,Preço médio do PubLog é 0.
MS20066-95,96906,"KEY,MACHINE",EA,"25,54",Há 3 preços para este item. Preço médio: $0.32.,Preço médio do PubLog é 7881.25% mais barato.
AC900F4UP1,18350,FILTER ELEMENT,EA,"2632,5",Há 3 preços para este item. Preço médio: $616.18.,Preço médio do PubLog é 327.23% mais barato.
MS21256-3,96906,"CLIP,RETAINING,AVIATION",EA,"2,08",Há 5 preços para este item. Preço médio: $0.32.,Preço médio do PubLog é 550.0% mais barato.
